prob,group,it,size,eax,eax.restart,lkh,lkh.restart,maos
1000-10-15,netgen,0,1000,5.5,5.96,6.36,2.26,8.81
1000-10-15,netgen,1,1000,5.65,5.8,1.82,2.18,8.84
1000-10-15,netgen,2,1000,5.94,5.73,3.11,3.19,8.99
1000-10-15,netgen,3,1000,6.15,5.34,1.97,4.52,9.43
1000-10-15,netgen,4,1000,5.45,5.28,3.68,4.9,8.94
1000-10-15,netgen,5,1000,6.01,5.3,6.65,7.74,10.06
1000-10-15,netgen,6,1000,5.31,5.84,2.02,3.45,9.35
1000-10-15,netgen,7,1000,5.83,5.12,4.13,5.87,9.4
1000-10-15,netgen,8,1000,5.68,5.5,5.35,4.09,8.83
1000-10-15,netgen,9,1000,5.82,5,2.93,2.65,9.07
1000-10-16,netgen,0,1000,4.63,5.07,2.27,4.18,8.96
1000-10-16,netgen,1,1000,4.73,5.42,2.21,2.61,10.17
1000-10-16,netgen,2,1000,5.64,5.28,12.04,2.25,8.9
1000-10-16,netgen,3,1000,11.61,12.87,2.03,1.86,10.54
1000-10-16,netgen,4,1000,3600,12.6,1.77,1.86,8.78
1000-10-16,netgen,5,1000,6.56,6.18,2.23,2.47,3600
1000-10-16,netgen,6,1000,7.72,4.99,1.92,5.16,8.82
1000-10-16,netgen,7,1000,6.21,6.44,3.15,2.79,9.82
1000-10-16,netgen,8,1000,6.36,6.5,5.09,4.52,8.82
1000-10-16,netgen,9,1000,3600,12.89,2.25,4.38,3600
1000-10-17,netgen,0,1000,4.68,4.86,641.09,24.69,8.24
1000-10-17,netgen,1,1000,4.69,5.63,16.76,9.29,3600
1000-10-17,netgen,2,1000,5.64,5.83,556.85,83.05,8.91
1000-10-17,netgen,3,1000,4.77,4.9,1823.67,55.08,9.06
1000-10-17,netgen,4,1000,3600,11.4,3600,99.2,9.47
1000-10-17,netgen,5,1000,4.72,5.5,1244.86,5.26,8.23
1000-10-17,netgen,6,1000,4.9,6.9,123.46,40.63,8.16
1000-10-17,netgen,7,1000,5.46,4.78,1009.69,50.24,8.36
1000-10-17,netgen,8,1000,4.76,5.51,7.32,151.09,9.04
1000-10-17,netgen,9,1000,4.73,4.94,143.01,75.04,8.36
1000-10-18,netgen,0,1000,3600,12.26,20.56,5.03,9.07
1000-10-18,netgen,1,1000,3600,12.8,17.98,44.62,9.22
1000-10-18,netgen,2,1000,5.5,5.43,11.02,8.04,9.42
1000-10-18,netgen,3,1000,5.45,5.77,41.51,7.62,10.06
1000-10-18,netgen,4,1000,6.13,5.77,73.14,4.96,9.45
1000-10-18,netgen,5,1000,5.83,6,2.49,4.07,9.7
1000-10-18,netgen,6,1000,5.7,5.66,47.14,15.88,10.47
1000-10-18,netgen,7,1000,3600,19.88,2.69,2.36,9.46
1000-10-18,netgen,8,1000,5.83,5.37,20.43,20.33,9.27
1000-10-18,netgen,9,1000,5.69,5.96,4.02,4.76,9.34
1000-10-19,netgen,0,1000,5.5,5.61,4.39,5.47,9.77
1000-10-19,netgen,1,1000,6.01,5.29,1097.8,21.71,9.59
1000-10-19,netgen,2,1000,5.37,5.73,3600,24.44,9.32
1000-10-19,netgen,3,1000,5.71,5.89,3.93,5.56,10.65
1000-10-19,netgen,4,1000,3600,19.99,3.37,12.46,9.85
1000-10-19,netgen,5,1000,5.04,6.1,11.97,3.64,9.4
1000-10-19,netgen,6,1000,5.99,5.96,86.55,3.42,3600
1000-10-19,netgen,7,1000,5.53,5.48,2.16,3.76,9.24
1000-10-19,netgen,8,1000,5.52,5.78,65.89,24.11,10.05
1000-10-19,netgen,9,1000,5.56,5.59,735.65,37.04,9.57
1000-10-2,netgen,0,1000,5.55,5.82,3.25,5.23,3600
1000-10-2,netgen,1,1000,5.1,5.21,12.69,17.66,8.41
1000-10-2,netgen,2,1000,4.99,4.83,11.35,32,8.43
1000-10-2,netgen,3,1000,4.99,5.15,39.51,22.18,3600
1000-10-2,netgen,4,1000,5.18,5.26,173.71,103.91,8.65
1000-10-2,netgen,5,1000,5.45,4.87,88.56,7.25,3600
1000-10-2,netgen,6,1000,3600,11.58,26.26,31.86,8.5
1000-10-2,netgen,7,1000,4.76,4.47,169.53,42.17,8.54
1000-10-2,netgen,8,1000,4.9,4.81,16.42,17.56,3600
1000-10-2,netgen,9,1000,3600,12.15,2.53,1.84,3600
1000-10-20,netgen,0,1000,4.43,4.73,2.08,1.96,9.14
1000-10-20,netgen,1,1000,4.88,4.8,1.72,1.94,8.36
1000-10-20,netgen,2,1000,4.7,4.67,2.73,4.51,9.14
1000-10-20,netgen,3,1000,6.09,4.76,3.07,2.24,9.43
1000-10-20,netgen,4,1000,4.71,4.7,2.32,1.97,8.4
1000-10-20,netgen,5,1000,4.99,4.79,5.62,2.32,8.18
1000-10-20,netgen,6,1000,5.02,5.54,1.9,1.57,7.92
1000-10-20,netgen,7,1000,4.59,5.3,2.96,2.78,3600
1000-10-20,netgen,8,1000,4.94,5.65,4.99,1.79,8.93
1000-10-20,netgen,9,1000,4.92,4.78,7.32,2.69,8.31
1000-10-21,netgen,0,1000,5.01,5.02,19.85,9.58,9.13
1000-10-21,netgen,1,1000,5.04,5.09,4.93,8.37,11.78
1000-10-21,netgen,2,1000,4.9,5.77,24.29,3.46,8.83
1000-10-21,netgen,3,1000,4.72,4.93,11.1,6.21,8.84
1000-10-21,netgen,4,1000,5.28,5.52,2.56,2.79,10.13
1000-10-21,netgen,5,1000,5.12,4.89,1.28,2.11,10.35
1000-10-21,netgen,6,1000,5.06,5.98,3.47,4.24,9.25
1000-10-21,netgen,7,1000,5.35,5,4.43,15.79,8.75
1000-10-21,netgen,8,1000,6.32,5.22,3.37,5.97,8.64
1000-10-21,netgen,9,1000,6.31,5.17,6.97,10.53,9.07
1000-10-22,netgen,0,1000,5.76,6.25,77.91,316,8.73
1000-10-22,netgen,1,1000,6.39,5.62,462.47,294.86,3600
1000-10-22,netgen,2,1000,6.69,5.38,1438.16,353.67,9.41
1000-10-22,netgen,3,1000,5.95,5.91,271.74,14.29,8.81
1000-10-22,netgen,4,1000,5.34,5.41,21.39,112.24,9.35
1000-10-22,netgen,5,1000,5.7,5.84,1119.33,208.53,9.77
1000-10-22,netgen,6,1000,6.29,7.04,88.82,743.45,8.95
1000-10-22,netgen,7,1000,5.4,8.8,411.37,780.76,3600
1000-10-22,netgen,8,1000,5.23,5.43,1624.2,14.17,10.35
1000-10-22,netgen,9,1000,5.32,5.72,70.01,569.68,9.27
1000-10-23,netgen,0,1000,4.92,5.18,2.57,3.21,9.02
1000-10-23,netgen,1,1000,5,5.51,8.97,11.92,8.7
1000-10-23,netgen,2,1000,3600,18.45,7.29,15.98,9.35
1000-10-23,netgen,3,1000,5.3,5.93,17.2,7.25,9.27
1000-10-23,netgen,4,1000,4.94,5.06,13.81,9.62,9.43
1000-10-23,netgen,5,1000,6.1,5.35,32.72,19.19,9.07
1000-10-23,netgen,6,1000,5.75,5.95,11.18,7.6,8.86
1000-10-23,netgen,7,1000,5.41,5.46,37.1,6.07,8.94
1000-10-23,netgen,8,1000,4.95,5.28,2.73,6.78,9.24
1000-10-23,netgen,9,1000,5.04,5.17,25.45,3.91,9.89
1000-10-24,netgen,0,1000,4.7,4.88,16.28,2.04,8.8
1000-10-24,netgen,1,1000,4.9,5.59,6.85,6.54,3600
1000-10-24,netgen,2,1000,5,4.78,9.27,3.77,8.7
1000-10-24,netgen,3,1000,5.28,4.64,14.35,5.84,8.78
1000-10-24,netgen,4,1000,4.68,4.46,4.85,6.34,8.6
1000-10-24,netgen,5,1000,4.8,4.97,9.97,3.03,8.79
1000-10-24,netgen,6,1000,4.59,4.62,4.13,2.88,8.77
1000-10-24,netgen,7,1000,4.93,4.88,6.71,7.04,9.75
1000-10-24,netgen,8,1000,5.43,4.74,2.95,4.93,8.87
1000-10-24,netgen,9,1000,4.42,4.31,2.18,2.61,8.39
1000-10-25,netgen,0,1000,5.24,4.96,8.61,2.96,8.98
1000-10-25,netgen,1,1000,5.62,5.45,6.78,4.25,8.84
1000-10-25,netgen,2,1000,5.88,5.74,4.2,6,9
1000-10-25,netgen,3,1000,5.16,5.38,26.99,6.75,8.97
1000-10-25,netgen,4,1000,5.71,5.66,5.27,6.23,9.21
1000-10-25,netgen,5,1000,5.47,5.3,1.99,5.84,8.72
1000-10-25,netgen,6,1000,3600,19.25,4.33,4.74,8.88
1000-10-25,netgen,7,1000,5.34,5.13,3.95,4.36,9.94
1000-10-25,netgen,8,1000,6.17,6.16,2.05,3.38,8.79
1000-10-25,netgen,9,1000,6.26,5.36,3.83,9.91,10.34
1000-10-26,netgen,0,1000,5,4.91,12.28,6.02,9.38
1000-10-26,netgen,1,1000,5.12,5.15,32.27,11.05,7.96
1000-10-26,netgen,2,1000,4.35,4.46,5.02,8.02,8.13
1000-10-26,netgen,3,1000,4.66,4.65,8.21,4.26,8.31
1000-10-26,netgen,4,1000,5.3,5.28,11.31,3.3,8.08
1000-10-26,netgen,5,1000,5.19,4.9,4.78,4.88,8.64
1000-10-26,netgen,6,1000,4.9,5.22,2.72,5.66,8.54
1000-10-26,netgen,7,1000,5.3,4.74,60.85,1.96,9.21
1000-10-26,netgen,8,1000,5.16,4.88,8.35,2.75,8.19
1000-10-26,netgen,9,1000,4.63,4.77,6.48,5.29,8.59
1000-10-27,netgen,0,1000,5.76,4.96,18.58,33.03,9.41
1000-10-27,netgen,1,1000,5.52,5.7,78.83,26.65,8.78
1000-10-27,netgen,2,1000,5.6,5.42,25.92,18.92,8.28
1000-10-27,netgen,3,1000,5.95,5.52,20.57,23.73,8.46
1000-10-27,netgen,4,1000,3600,12.42,26.97,25.9,8.72
1000-10-27,netgen,5,1000,3600,12.52,29.23,101.13,8.54
1000-10-27,netgen,6,1000,6.15,5.64,28.94,37.47,8.86
1000-10-27,netgen,7,1000,5.15,5.53,18.42,97.69,8.88
1000-10-27,netgen,8,1000,5.93,7.4,51.57,65.6,8.49
1000-10-27,netgen,9,1000,5.87,5.89,14.09,95.65,8.73
1000-10-28,netgen,0,1000,5.12,6.33,8.37,47.38,9.67
1000-10-28,netgen,1,1000,5.35,5.45,17.91,11.81,9.31
1000-10-28,netgen,2,1000,5.34,5.25,28.8,27.97,8.96
1000-10-28,netgen,3,1000,5.6,4.93,5.34,22.92,8.85
1000-10-28,netgen,4,1000,3600,12.28,30.44,4.08,8.79
1000-10-28,netgen,5,1000,5.08,5.06,21.28,13.35,9.37
1000-10-28,netgen,6,1000,5.18,5.51,5.49,15.33,10.25
1000-10-28,netgen,7,1000,5.32,5.36,36.08,11.32,8.9
1000-10-28,netgen,8,1000,5.72,5.24,20.54,21.36,9.17
1000-10-28,netgen,9,1000,5.73,5.51,8,18.2,8.74
1000-10-29,netgen,0,1000,4.87,6.15,2.58,2.57,8.91
1000-10-29,netgen,1,1000,5.75,5.63,3.8,3.39,8.76
1000-10-29,netgen,2,1000,5.57,5.24,3.8,2.04,9.37
1000-10-29,netgen,3,1000,5.39,5.2,3.42,2.8,8.62
1000-10-29,netgen,4,1000,5.23,5.54,1.78,3.95,9.43
1000-10-29,netgen,5,1000,5.05,5.09,3.81,2.51,8.51
1000-10-29,netgen,6,1000,5.49,6.14,5.8,4.55,8.88
1000-10-29,netgen,7,1000,5.14,4.83,1.58,2.04,9
1000-10-29,netgen,8,1000,5.21,5.41,6.23,2.9,8.19
1000-10-29,netgen,9,1000,5.25,5.46,5.19,9.4,9.05
1000-10-3,netgen,0,1000,4.68,5.71,810.25,1537.94,9.46
1000-10-3,netgen,1,1000,5.41,4.6,87.09,615.09,8.49
1000-10-3,netgen,2,1000,4.88,4.75,230.26,199.34,8.2
1000-10-3,netgen,3,1000,5.35,5.06,29.19,684.08,8.33
1000-10-3,netgen,4,1000,5.19,4.91,22.86,12.8,9.12
1000-10-3,netgen,5,1000,4.95,5.05,512.21,1069.38,8.29
1000-10-3,netgen,6,1000,4.85,4.81,295.97,373.74,8.4
1000-10-3,netgen,7,1000,4.59,4.55,448.11,2345.56,9.29
1000-10-3,netgen,8,1000,5.23,5.27,126.47,2890.45,9.45
1000-10-3,netgen,9,1000,5.45,5.23,525.77,2420.27,8.2
1000-10-30,netgen,0,1000,4.8,5.22,1.44,2.3,7.68
1000-10-30,netgen,1,1000,5.62,4.77,1.74,1.92,8.19
1000-10-30,netgen,2,1000,4.65,4.61,1.45,1.48,8.96
1000-10-30,netgen,3,1000,4.62,4.48,3.08,2.5,8.27
1000-10-30,netgen,4,1000,5.05,5.49,1.93,2,8.31
1000-10-30,netgen,5,1000,4.49,4.78,1.76,1.76,8.08
1000-10-30,netgen,6,1000,3600,10.1,1.71,1.91,3600
1000-10-30,netgen,7,1000,4.79,4.57,1.94,2.11,8.12
1000-10-30,netgen,8,1000,4.7,4.51,1.77,1.74,8.46
1000-10-30,netgen,9,1000,4.73,4.93,4.23,1.92,8.52
1000-10-31,netgen,0,1000,5.1,4.79,5.45,3.93,8.66
1000-10-31,netgen,1,1000,4.83,4.83,10.59,92.5,8.52
1000-10-31,netgen,2,1000,5.04,4.99,54.5,14.04,8.07
1000-10-31,netgen,3,1000,4.75,4.74,17.55,25.19,8.42
1000-10-31,netgen,4,1000,5.59,5.01,47.75,3.94,8.54
1000-10-31,netgen,5,1000,4.92,5.32,40.99,14.21,8.45
1000-10-31,netgen,6,1000,4.76,5.28,171.15,118.94,9.04
1000-10-31,netgen,7,1000,4.76,4.79,31.09,73.28,8.83
1000-10-31,netgen,8,1000,5.96,5.83,71.85,22.63,8.31
1000-10-31,netgen,9,1000,5.07,5,22.28,98.53,8.1
1000-10-32,netgen,0,1000,5.19,6.43,7.31,4.49,7.8
1000-10-32,netgen,1,1000,5.19,5.09,32.4,4.26,8.17
1000-10-32,netgen,2,1000,4.74,4.71,17.5,2.17,8.36
1000-10-32,netgen,3,1000,5,5.12,17,24.46,8.16
1000-10-32,netgen,4,1000,5.53,5.41,5.27,4.21,8.29
1000-10-32,netgen,5,1000,5.17,5.25,15.44,6.04,9.03
1000-10-32,netgen,6,1000,5.02,4.6,5.44,5.06,8.3
1000-10-32,netgen,7,1000,5.12,4.79,14.66,26.11,8.34
1000-10-32,netgen,8,1000,5.05,4.98,26.43,6,8.67
1000-10-32,netgen,9,1000,5.48,5.64,2.84,3.57,8.27
1000-10-33,netgen,0,1000,5.2,4.87,4.83,3.61,8.81
1000-10-33,netgen,1,1000,4.97,4.96,4.84,2.52,9.32
1000-10-33,netgen,2,1000,4.61,4.99,18.31,23.89,9.4
1000-10-33,netgen,3,1000,5.13,4.88,24.74,6.96,9
1000-10-33,netgen,4,1000,5.58,5.1,4.55,4.28,10.01
1000-10-33,netgen,5,1000,5.65,5.58,21.39,14.58,8.79
1000-10-33,netgen,6,1000,5.39,5.93,5.63,3.46,8.46
1000-10-33,netgen,7,1000,3600,11.91,1.87,2.69,8.94
1000-10-33,netgen,8,1000,5.03,5.35,6.58,7.04,8.91
1000-10-33,netgen,9,1000,5.12,5.04,7.13,5.16,9.89
1000-10-34,netgen,0,1000,5.29,5.34,12.58,8.41,8.84
1000-10-34,netgen,1,1000,5.3,6.54,6.47,10.68,9.28
1000-10-34,netgen,2,1000,5.33,5.37,38.78,4.39,8.98
1000-10-34,netgen,3,1000,5.73,5.65,32.34,6.52,10.82
1000-10-34,netgen,4,1000,5.54,5.53,39.27,23.54,9.39
1000-10-34,netgen,5,1000,5.5,5.63,20.08,12.58,3600
1000-10-34,netgen,6,1000,5.41,5.33,13.1,10.06,10.12
1000-10-34,netgen,7,1000,5.3,6.03,5.15,42.59,9.04
1000-10-34,netgen,8,1000,6.32,5.65,54.36,7.09,3600
1000-10-34,netgen,9,1000,5.55,5.4,14.74,16.31,8.99
1000-10-35,netgen,0,1000,5.21,5.1,8.01,3.06,8.33
1000-10-35,netgen,1,1000,5.11,5.11,3.19,2.94,8.17
1000-10-35,netgen,2,1000,5.15,5.29,10.9,3.58,8.25
1000-10-35,netgen,3,1000,5.1,4.74,6.39,11.2,8.16
1000-10-35,netgen,4,1000,4.78,4.81,3.47,23.29,8.02
1000-10-35,netgen,5,1000,5.02,5.09,5.95,3.82,8.1
1000-10-35,netgen,6,1000,5.55,5.3,3.85,3.6,8.32
1000-10-35,netgen,7,1000,5.09,5.08,14.78,10.7,8.24
1000-10-35,netgen,8,1000,5.22,4.93,5.37,6.48,8.81
1000-10-35,netgen,9,1000,4.88,5.93,10.2,32.86,7.9
1000-10-36,netgen,0,1000,5.08,5.27,22.8,8.05,9.32
1000-10-36,netgen,1,1000,5.4,5.3,24.06,10.34,9.42
1000-10-36,netgen,2,1000,4.5,4.3,21.06,4.98,8.27
1000-10-36,netgen,3,1000,4.8,5.11,14.46,11.3,9.26
1000-10-36,netgen,4,1000,5.06,4.8,8.01,15.09,8.02
1000-10-36,netgen,5,1000,5.76,5.4,7.29,4.25,9.46
1000-10-36,netgen,6,1000,5.78,4.87,6.19,4.12,7.92
1000-10-36,netgen,7,1000,5.03,4.83,6.06,11.52,8.37
1000-10-36,netgen,8,1000,4.95,5.07,5.8,9.12,9.08
1000-10-36,netgen,9,1000,5.58,5.71,4.32,5.04,8.5
1000-10-37,netgen,0,1000,4.97,5.5,5.43,7.87,8.25
1000-10-37,netgen,1,1000,4.88,4.93,3.49,3.32,7.88
1000-10-37,netgen,2,1000,3600,23.24,39.19,4.77,8.22
1000-10-37,netgen,3,1000,5.17,6.46,3.01,4.36,8.21
1000-10-37,netgen,4,1000,4.66,4.78,4.4,4.9,8.51
1000-10-37,netgen,5,1000,4.61,4.61,59.32,5.92,8.73
1000-10-37,netgen,6,1000,4.92,4.76,44.18,25.83,8.04
1000-10-37,netgen,7,1000,4.53,4.68,101.8,3.45,8.84
1000-10-37,netgen,8,1000,5.44,5.13,115.78,13.74,8.34
1000-10-37,netgen,9,1000,3600,17.08,185.61,2.38,8.42
1000-10-38,netgen,0,1000,4.77,4.8,11.37,3.16,8.96
1000-10-38,netgen,1,1000,5.27,5.07,1.62,2.03,8.24
1000-10-38,netgen,2,1000,5.25,5.3,3.37,6.98,8.75
1000-10-38,netgen,3,1000,4.94,5.38,1.63,1.91,8.78
1000-10-38,netgen,4,1000,5.59,4.91,2.2,1.69,8.61
1000-10-38,netgen,5,1000,5.5,4.89,2.34,2.29,9.7
1000-10-38,netgen,6,1000,4.93,5.07,4.37,1.82,8.38
1000-10-38,netgen,7,1000,5.11,5.03,4.23,4.34,8.05
1000-10-38,netgen,8,1000,4.76,5.37,2.05,2.06,8.53
1000-10-38,netgen,9,1000,5.48,6.13,4.26,5.45,8.21
1000-10-39,netgen,0,1000,4.93,5.04,86.37,30.12,8.43
1000-10-39,netgen,1,1000,5.04,5.1,176.24,25.85,8.81
1000-10-39,netgen,2,1000,4.75,4.63,52.88,22.91,8.41
1000-10-39,netgen,3,1000,5.09,5.17,10.21,232.95,8.98
1000-10-39,netgen,4,1000,5.03,5.39,110.24,99.5,8.34
1000-10-39,netgen,5,1000,4.81,4.5,171.49,89.21,8.61
1000-10-39,netgen,6,1000,4.87,5.27,37.87,93.35,8.45
1000-10-39,netgen,7,1000,4.86,5.08,43.11,203.66,8.65
1000-10-39,netgen,8,1000,4.85,5.16,18.16,54.77,8.42
1000-10-39,netgen,9,1000,4.92,5.31,197.65,11.43,8.36
1000-10-4,netgen,0,1000,5.19,5.24,32.7,8.97,8.91
1000-10-4,netgen,1,1000,5.24,5.1,33.34,14.67,8.52
1000-10-4,netgen,2,1000,5.59,5.17,3.69,8.43,8.82
1000-10-4,netgen,3,1000,5.56,5.08,6.45,18.59,3600
1000-10-4,netgen,4,1000,5.23,4.89,6.11,4.69,9.34
1000-10-4,netgen,5,1000,5.49,5.23,8.81,4.44,9.04
1000-10-4,netgen,6,1000,5.03,4.7,6.93,11.63,10.03
1000-10-4,netgen,7,1000,5.29,5.34,12.11,8.75,9.17
1000-10-4,netgen,8,1000,5.13,4.9,4.57,8.47,9.49
1000-10-4,netgen,9,1000,5.46,4.97,7.52,11.22,8.72
1000-10-40,netgen,0,1000,5.47,5.52,26.81,728.18,9.21
1000-10-40,netgen,1,1000,5.1,5.31,477.12,350.99,8.92
1000-10-40,netgen,2,1000,5.47,5.2,437.29,449.71,9.27
1000-10-40,netgen,3,1000,6.05,5.21,18.87,4.71,9.02
1000-10-40,netgen,4,1000,5.37,5.43,8.03,488.09,9.77
1000-10-40,netgen,5,1000,5.24,5.67,5.96,3.5,9.14
1000-10-40,netgen,6,1000,5.22,6.07,1817.44,132.05,8.67
